Upload Date,Region,Incident ID,Confirmed Off,Predicted Off,Restored,Status,Planned,Category,Resource Status,Start Time,ETR,Voltage,Location Latitude,Location Longitude,Postcodes
2025-10-02T14:50:00,South West,INCD-70455-l,0,7,0,In Progress,False,LV GENERIC,ENR,2025-10-02T11:48:00,2025-10-02T15:00:00,LV,50.7209,-3.578783,"EX4 2HD, EX6 7RX"
2025-10-02T14:50:00,South West,INCD-70475-l,0,42,0,In Progress,False,LV GENERIC,ENR,2025-10-02T14:03:00,2025-10-02T17:00:00,LV,50.82366,-4.532735,EX23 8SA
2025-10-02T14:50:00,South West,INCD-70348-l,0,35,0,In Progress,False,LV UNDERGROUND,COMP,2025-10-01T10:46:00,2025-10-02T15:00:00,LV,50.11927,-5.546534,"TR18 4JS, TR18 4LL, TR18 4JU, TR18 4LJ"
2025-10-02T14:50:00,South West,INCD-70463-l,0,21,0,In Progress,False,LV GENERIC,ONS,2025-10-02T12:13:00,2025-10-02T15:30:00,LV,50.62042,-3.415953,"EX8 1DE, EX8 1DB"
2025-10-02T14:50:00,West Midlands,INCD-52817-p,5,0,364,Awaiting,False,HV OVERHEAD,ASSN,2025-10-02T09:53:00,2025-10-02T14:02:00,HV,52.37622,-2.485682,"DY14 8HG, DY14 8HF"
2025-10-02T14:50:00,West Midlands,INCD-48504-m,0,31,0,In Progress,False,LV DAMAGE,DISP,2025-10-02T12:14:00,2025-10-02T17:00:00,LV,52.7166,-2.867622,"SY5 9LS, SY5 9LL, SY5 9LR, SY5 9LW, SY5 9LP, SY5 9LY"
2025-10-02T14:50:00,West Midlands,INCD-48511-m,2,59,0,In Progress,False,LV DAMAGE,DISP,2025-10-02T13:07:00,2025-10-02T17:00:00,LV,52.2222,-2.231071,"WR3 7QZ, WR3 7RA, WR3 7RB, WR3 7QB, WR3 7EH"
2025-10-02T14:50:00,West Midlands,INCD-48516-m,0,35,0,Awaiting,False,LV GENERIC,UNASSIGNED,2025-10-02T14:02:00,2025-10-02T17:00:00,LV,52.26135,-2.141402,"WR9 7DT, WR9 7AL, WR9 7AN, WR9 7AH, WR9 7AJ, WR9 7AQ"
2025-10-02T14:50:00,West Midlands,INCD-52795-p,1,0,85,In Progress,False,LV DAMAGE,ONS,2025-10-02T10:49:00,2025-10-02T17:00:00,LV,52.47498,-2.068666,B64 6HP
2025-10-02T14:50:00,West Midlands,INCD-48468-m,17,0,2252,In Progress,False,HV OVERHEAD,DISP,2025-10-02T08:04:00,2025-10-02T16:00:00,HV,51.59408,-2.520873,"BS35 3QP, BS35 3QR, BS35 3QW, BS35 3PS"
2025-10-02T14:50:00,West Midlands,INCD-48463-m,14,0,4,In Progress,False,LV UNDERGROUND,COMP,2025-10-02T07:53:00,2025-10-02T16:00:00,LV,52.19126,-1.705775,"CV37 6BE, CV37 6EF, CV37 6BA, CV37 6EP, CV37 6ER, WR11 7JH, CV37 6BD, CV37 6BH"
2025-10-02T14:50:00,West Midlands,INCD-48471-m,20,0,0,In Progress,False,LV FUSE,COMP,2025-10-02T08:15:00,2025-10-02T17:00:00,LV,52.71388,-1.994214,"WS12 1QJ, WS12 1TD, WS12 1TA, WS12 1TH"
2025-10-02T14:50:00,West Midlands,INCD-48483-m,80,0,0,In Progress,False,LV UNDERGROUND,ONS,2025-10-02T09:47:00,2025-10-02T18:00:00,LV,52.70178,-1.977093,"WS12 0RX, WS12 0RU, WS12 0RN, WS12 0RT"
2025-10-02T14:50:00,West Midlands,INCD-52777-p,3,0,0,In Progress,False,LV UNDERGROUND,COMP,2025-10-02T01:49:00,2025-10-02T16:00:00,LV,53.12147,-2.166716,ST8 7HL
2025-10-02T14:50:00,West Midlands,INCD-48490-m,1,0,45,In Progress,False,LV DAMAGE,ONS,2025-10-02T10:38:00,2025-10-02T16:30:00,LV,51.94145,-2.043536,GL52 9QA
2025-10-02T14:50:00,West Midlands,INCD-48509-m,17,0,0,Awaiting,False,HV GENERIC,UNASSIGNED,2025-10-02T13:25:00,2025-10-02T16:00:00,HV,52.61638,-2.951898,SY5 0EL
2025-10-02T14:50:00,East Midlands,INCD-101399-h,21,42,0,In Progress,False,LV ISOLATION,ONS,2025-10-02T14:27:00,2025-10-02T16:30:00,LV,52.26718,-0.8575058,"NN3 6PF, NN3 6PH, NN3 6PQ"
2025-10-02T14:50:00,East Midlands,INCD-101369-h,1,0,0,In Progress,False,LV UNDERGROUND,COMP,2025-10-02T10:50:00,2025-10-02T19:00:00,LV,52.91976,-1.14378,NG2 7HQ
